t,main,turn,theta,pm1,pm2,pm3,ptm,pt0,ptp,confm,conft,thg,thref,wref
49.2,1,0,0.0041454927995801,1,2.43078410733233e-08,5.94992357605406e-08,0.000358624936779961,0.999549210071564,9.21380342333578e-05,1,0.999549210071564,0,0,0
49.4,1,0,0.00414549466222525,1,2.43078872586011e-08,5.94992357605406e-08,0.000358624936779961,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
49.6,1,0,0.00414549838751554,1,2.43078410733233e-08,5.94992357605406e-08,0.000358624936779961,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
49.8,1,0,0.00414549838751554,1,2.43078410733233e-08,5.94991220737029e-08,0.000358624936779961,0.999549210071564,9.21379469218664e-05,1,0.999549210071564,0,0,0
50,1,0,0.00414550211280584,1,2.43078410733233e-08,5.94991220737029e-08,0.000358624762156978,0.999549210071564,9.2137765022926e-05,1,0.999549210071564,0,0,0
50.2,1,0,0.00414565112441778,0.99999988079071,2.43769235908076e-08,5.96989551127081e-08,0.000362866296200082,0.999545395374298,9.17885408853181e-05,0.99999988079071,0.999545395374298,0,0,0.000400625280121677
50.4,1,0,0.00408573821187019,0.99999988079071,2.49418246056621e-08,6.61618102526518e-08,0.000415060116210952,0.999500632286072,8.42266890686005e-05,0.99999988079071,0.999500632286072,0,0,0.00280665295849505
50.6,1,0,0.00369573663920164,0.99999988079071,3.09948724463993e-08,1.21530149499449e-07,0.000562285131309181,0.999358236789703,7.94683001004159e-05,0.99999988079071,0.999358236789703,0,0,0.00840822353651281
50.8,1,0,0.00201643817126751,0.999999284744263,4.92316303279949e-08,6.86648547798541e-07,0.00217614928260446,0.997777163982391,4.6639845095342e-05,0.999999284744263,0.997777163982391,0,0,0.0175933350999809
51,1,0,0.00013269018381834,0.999991059303284,1.89495906965931e-07,8.65387391968397e-06,0.00203790585510433,0.997941911220551,2.02605970116565e-05,0.999991059303284,0.997941911220551,0,0,0.0300183486132537
51.2,1,0,0.00198364444077015,0.999998807907104,8.77531078913307e-08,1.1264376098552e-06,0.000409353466238827,0.999533176422119,5.7488250604365e-05,0.999998807907104,0.999533176422119,0,0,0.0447337187854708
